agent_code,avg_policies,std_policies,active_months,avg_anbp,avg_income,avg_customers,first_active_month,last_active_month,tenure,stability,cluster,performance
003c1999,22.4,9.99684160649068,20,1268787.95,278643.45,15.9,2023-01-01,2024-08-01,19.0,0.09093520083164322,1,High
00d5bda3,20.25,13.329330539512439,20,885509.8,213111.6,15.35,2023-01-01,2024-08-01,19.0,0.06978693088574851,0,Low
012a3553,18.1,10.622220998800977,20,944373.7,204776.35,15.75,2023-01-01,2024-08-01,19.0,0.08604207406683856,0,Low
012f0e15,19.65,10.100937944984171,20,875913.1,225369.7,15.55,2023-01-01,2024-08-01,19.0,0.0900824781613916,0,Low
0177ed5f,21.25,7.383302641415754,20,1067276.6,229649.5,15.15,2023-01-01,2024-08-01,19.0,0.11928473094359412,1,High
01a4ff82,20.7,8.360936739259227,20,1017325.85,196782.1,16.05,2023-01-01,2024-08-01,19.0,0.10682691570877281,0,Low
01b0edf6,15.25,1.5,4,897813.75,203465.75,12.75,2024-05-01,2024-08-01,3.0,0.4,2,Medium
01c0860d,17.666666666666668,9.165151389911681,9,1245322.2222222222,238464.77777777778,15.333333333333334,2023-12-01,2024-08-01,8.0,0.09837531795074311,0,Low
01c63d8e,21.35,9.938097880061568,20,1165284.2,288863.95,16.1,2023-01-01,2024-08-01,19.0,0.0914235739125029,1,High
01cf7b40,21.88888888888889,9.578707323377623,18,1249422.5,273334.44444444444,15.055555555555555,2023-03-01,2024-08-01,17.0,0.09452950813660614,1,High
026b60ee,20.5,10.133321791313834,20,1275884.4,278802.6,15.85,2023-01-01,2024-08-01,19.0,0.08982045239904907,1,High
026ffb43,20.55,8.846497969015168,20,737860.3,160314.7,14.3,2023-01-01,2024-08-01,19.0,0.10155895051690327,0,Low
0279d0a7,20.9,10.279770630248825,20,959072.95,260883.0,16.95,2023-01-01,2024-08-01,19.0,0.08865428498327015,0,Low
03216cb4,16.75,10.051839318463587,20,878962.95,215552.25,15.65,2023-01-01,2024-08-01,19.0,0.09048267633871271,0,Low
0330163d,22.666666666666668,8.238122763510304,6,900685.6666666666,206300.0,17.0,2024-03-01,2024-08-01,5.0,0.10824710015219799,0,Low
041aede5,21.95,4.978638579497728,20,1150397.4,216604.05,14.95,2023-01-01,2024-08-01,19.0,0.1672621595540587,1,High
0439a5fc,18.45,11.329862729692898,20,962915.8,247435.15,17.35,2023-01-01,2024-08-01,19.0,0.08110390374353399,0,Low
046d7894,20.5,9.773756483025025,20,1201356.65,241658.2,16.85,2023-01-01,2024-08-01,19.0,0.09281813651307096,1,High
04cd94ce,20.15,9.76715764288939,20,943906.55,188601.9,15.2,2023-01-01,2024-08-01,19.0,0.09287502172501375,0,Low
04f897f5,18.15,9.212548650160764,20,794012.8,164691.1,15.45,2023-01-01,2024-08-01,19.0,0.09791875018233163,0,Low
0522b331,20.2,9.467951481875998,20,1022986.45,205520.8,13.25,2023-01-01,2024-08-01,19.0,0.09552967471538056,0,Low
05339eaf,19.5,9.92831448793946,8,1132497.75,273876.0,15.75,2024-01-01,2024-08-01,7.0,0.09150541934930631,1,High
057dd1b3,17.0,9.43677018788459,20,931627.0,201401.35,15.8,2023-01-01,2024-08-01,19.0,0.0958150828271412,0,Low
0599fb2d,23.1,10.467493542039161,20,1494183.05,295985.1,15.8,2023-01-01,2024-08-01,19.0,0.08720301400947456,1,High
05cb3b30,17.941176470588236,11.283121178530866,17,1108343.8235294118,294822.64705882355,17.176470588235293,2023-04-01,2024-08-01,16.0,0.08141253232507846,1,High
068c4b6c,20.25,9.380130175283451,20,998238.85,215390.7,14.05,2023-01-01,2024-08-01,19.0,0.09633790550923345,0,Low
06acbf85,18.6,10.251572408274999,20,1131617.0,288749.65,16.95,2023-01-01,2024-08-01,19.0,0.08887646665852209,1,High
06dfa6a3,24.2,5.653131409833148,20,1289991.65,274316.45,15.35,2023-01-01,2024-08-01,19.0,0.15030516284738146,1,High
071a8882,21.55,10.32867750234116,20,1133333.45,222398.55,16.05,2023-01-01,2024-08-01,19.0,0.08827155683382656,1,High
071c1880,19.2,9.545459102300118,20,1154893.45,278396.65,15.1,2023-01-01,2024-08-01,19.0,0.09482754523052349,1,High
084c02de,22.5,7.850578255604388,20,792472.8,160527.85,15.4,2023-01-01,2024-08-01,19.0,0.11298696775736401,0,Low
0879757d,18.45,12.26666428298985,20,936926.5,214444.0,12.9,2023-01-01,2024-08-01,19.0,0.07537689796538925,0,Low
087ef587,22.45,6.336818062552746,20,879934.05,164248.3,16.2,2023-01-01,2024-08-01,19.0,0.13629886845688846,0,Low
08a278cd,20.333333333333332,8.988207762834525,12,1081824.0833333333,269932.5,17.333333333333332,2023-09-01,2024-08-01,11.0,0.10011806159268485,1,High
08d93405,21.8,8.069435511464492,20,1147981.4,231473.7,15.8,2023-01-01,2024-08-01,19.0,0.11026044550798338,1,High
08dd9dac,22.5,8.786952049248333,20,1174236.45,246734.25,16.8,2023-01-01,2024-08-01,19.0,0.10217685699980547,1,High
096ab135,21.15,8.106365270251326,20,899933.8,181541.05,16.45,2023-01-01,2024-08-01,19.0,0.10981329765749678,0,Low
09b8e785,20.0,6.431828748702158,20,940789.95,195283.75,15.85,2023-01-01,2024-08-01,19.0,0.13455638360539898,0,Low
0a14b2af,20.4,6.979334575094615,10,1268506.7,241104.6,14.1,2023-11-01,2024-08-01,9.0,0.12532373352550422,1,High
0a318094,15.7,9.454043969033624,20,915029.15,249753.1,13.85,2023-01-01,2024-08-01,19.0,0.0956567623937821,0,Low
0a37f9af,16.181818181818183,11.160808051554168,11,866786.0,219182.45454545456,15.454545454545455,2023-10-01,2024-08-01,10.0,0.08223137769798107,0,Low
0a419b45,19.15,11.895487866369642,20,932453.75,188726.3,14.35,2023-01-01,2024-08-01,19.0,0.07754650389055204,0,Low
0a75b64a,20.8,7.36706754485978,20,884933.35,207963.45,16.8,2023-01-01,2024-08-01,19.0,0.11951618588454441,0,Low
