iter	Passed	Remaining
0	30	15174
1	60	15049
2	85	14230
3	113	14012
4	148	14700
5	174	14397
6	209	14774
7	241	14835
8	275	15019
9	308	15122
10	339	15094
11	380	15461
12	416	15614
13	451	15678
14	481	15578
15	516	15619
16	549	15621
17	584	15656
18	609	15425
19	634	15218
20	664	15158
21	696	15128
22	731	15162
23	770	15274
24	801	15234
25	841	15332
26	875	15346
27	910	15340
28	939	15260
29	967	15162
30	994	15039
31	1020	14931
32	1050	14863
33	1079	14801
34	1107	14712
35	1136	14651
36	1169	14630
37	1196	14552
38	1228	14517
39	1261	14505
40	1294	14489
41	1328	14487
42	1353	14384
43	1381	14316
44	1415	14317
45	1443	14246
46	1477	14244
47	1510	14223
48	1545	14221
49	1575	14183
50	1601	14097
51	1629	14041
52	1661	14012
53	1697	14023
54	1748	14144
55	1781	14123
56	1809	14063
57	1842	14043
58	1872	13992
59	1899	13926
60	1926	13862
61	1957	13827
62	1984	13766
63	2009	13692
64	2036	13631
65	2067	13596
66	2090	13508
67	2118	13460
68	2143	13392
69	2170	13331
70	2197	13276
71	2226	13234
72	2254	13188
73	2280	13127
74	2304	13059
75	2332	13012
76	2355	12939
77	2379	12871
78	2405	12818
79	2432	12769
80	2458	12715
81	2481	12649
82	2508	12601
83	2539	12578
84	2563	12517
85	2593	12484
86	2619	12433
87	2643	12376
88	2668	12321
89	2697	12287
90	2723	12240
91	2750	12198
92	2772	12132
93	2796	12077
94	2818	12016
95	2847	11983
96	2878	11957
97	2912	11947
98	2942	11919
99	2973	11894
100	3000	11853
101	3028	11816
102	3062	11803
103	3089	11762
104	3115	11718
105	3140	11673
106	3166	11630
107	3196	11602
108	3221	11555
109	3249	11519
110	3274	11475
111	3302	11440
112	3331	11411
113	3352	11352
114	3383	11328
115	3412	11297
116	3438	11255
117	3462	11208
118	3492	11180
119	3520	11146
120	3548	11113
121	3575	11077
122	3598	11030
123	3624	10989
124	3655	10967
125	3678	10918
126	3702	10874
127	3730	10841
128	3754	10797
129	3778	10753
130	3802	10711
131	3828	10674
132	3855	10639
133	3887	10617
134	3915	10585
135	3941	10549
136	3969	10517
137	3996	10483
138	4020	10441
139	4048	10410
140	4076	10379
141	4098	10331
142	4125	10300
143	4155	10272
144	4184	10244
145	4211	10210
146	4240	10182
147	4269	10154
148	4299	10128
149	4323	10088
150	4356	10067
151	4384	10037
152	4411	10005
153	4441	9978
154	4467	9943
155	4494	9910
156	4521	9877
157	4544	9836
158	4569	9800
159	4598	9770
160	4623	9734
161	4655	9713
162	4684	9685
163	4714	9659
164	4743	9631
165	4772	9602
166	4800	9573
167	4825	9536
168	4852	9504
169	4880	9473
170	4906	9440
171	4933	9408
172	4958	9373
173	4982	9335
174	5010	9305
175	5032	9265
176	5061	9236
177	5093	9214
178	5118	9178
179	5145	9147
180	5175	9120
181	5203	9091
182	5227	9055
183	5254	9023
184	5279	8989
185	5303	8953
186	5325	8913
187	5351	8880
188	5379	8851
189	5406	8821
190	5432	8787
191	5454	8749
192	5484	8723
193	5509	8690
194	5531	8652
195	5556	8618
196	5582	8586
197	5607	8552
198	5638	8528
199	5668	8503
200	5705	8486
201	5733	8458
202	5756	8421
203	5779	8385
204	5809	8359
205	5836	8329
206	5865	8302
207	5889	8267
208	5918	8240
209	5941	8205
210	5968	8174
211	5995	8144
212	6021	8113
213	6048	8083
214	6072	8049
215	6098	8018
216	6128	7992
217	6160	7968
218	6191	7944
219	6218	7914
220	6245	7885
221	6271	7852
222	6297	7822
223	6322	7790
224	6346	7757
225	6373	7726
226	6401	7698
227	6426	7666
228	6451	7634
229	6476	7603
230	6499	7568
231	6525	7538
232	6550	7506
233	6573	7472
234	6598	7441
235	6620	7406
236	6646	7375
237	6673	7346
238	6702	7319
239	6730	7291
240	6755	7259
241	6781	7229
242	6812	7205
243	6845	7181
244	6873	7154
245	6900	7124
246	6925	7093
247	6953	7065
248	6979	7035
249	7002	7002
250	7028	6972
251	7055	6943
252	7085	6917
253	7114	6890
254	7141	6861
255	7166	6830
256	7192	6800
257	7215	6768
258	7238	6735
259	7270	6711
260	7305	6689
261	7332	6661
262	7359	6632
263	7385	6602
264	7411	6572
265	7438	6543
266	7461	6511
267	7488	6482
268	7510	6449
269	7537	6420
270	7560	6388
271	7584	6357
272	7615	6332
273	7643	6304
274	7669	6274
275	7697	6247
276	7720	6215
277	7743	6183
278	7770	6155
279	7800	6128
280	7831	6103
281	7859	6075
282	7885	6046
283	7915	6020
284	7938	5988
285	7961	5957
286	7989	5929
287	8021	5904
288	8044	5873
289	8069	5843
290	8094	5813
291	8122	5786
292	8151	5759
293	8178	5730
294	8205	5702
295	8231	5672
296	8263	5648
297	8293	5621
298	8323	5595
299	8350	5566
300	8376	5538
301	8404	5510
302	8431	5481
303	8458	5453
304	8484	5424
305	8508	5394
306	8531	5363
307	8554	5332
308	8581	5304
309	8607	5275
310	8633	5246
311	8660	5218
312	8684	5188
313	8704	5155
314	8733	5129
315	8762	5102
316	8791	5075
317	8817	5046
318	8841	5016
319	8865	4987
320	8891	4957
321	8918	4930
322	8947	4903
323	8971	4873
324	8996	4844
325	9020	4814
326	9046	4786
327	9070	4756
328	9094	4727
329	9121	4698
330	9146	4669
331	9171	4640
332	9198	4612
333	9224	4584
334	9247	4554
335	9271	4525
336	9294	4495
337	9316	4465
338	9343	4437
339	9372	4410
340	9395	4380
341	9419	4351
342	9443	4322
343	9468	4293
344	9491	4264
345	9516	4235
346	9539	4206
347	9568	4179
348	9595	4151
349	9621	4123
350	9645	4094
351	9675	4068
352	9702	4040
353	9726	4011
354	9755	3984
355	9779	3955
356	9807	3928
357	9831	3899
358	9859	3872
359	9893	3847
360	9921	3820
361	9947	3792
362	9976	3765
363	10003	3737
364	10028	3709
365	10053	3680
366	10081	3653
367	10108	3625
368	10135	3598
369	10160	3569
370	10182	3540
371	10204	3511
372	10229	3482
373	10255	3455
374	10283	3427
375	10307	3399
376	10331	3370
377	10354	3341
378	10378	3313
379	10403	3285
380	10430	3257
381	10454	3229
382	10475	3200
383	10501	3172
384	10528	3144
385	10553	3116
386	10583	3090
387	10611	3062
388	10635	3034
389	10657	3005
390	10683	2978
391	10709	2950
392	10731	2921
393	10758	2894
394	10785	2867
395	10813	2839
396	10838	2811
397	10865	2784
398	10888	2756
399	10917	2729
400	10944	2701
401	10968	2673
402	10996	2646
403	11023	2619
404	11051	2592
405	11076	2564
406	11102	2537
407	11129	2509
408	11154	2481
